,sampCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
809,BE,2016,Hexachlorobenzene,40,1.0,0.0307,0.0,0.0,0.0,0.0
952,BE,2023,DDT (sum),30,0.0,0.0,0.0,1.0,0.035,0.0
946,BE,2023,Chlorate,20,0.0,0.0,0.0,1.0,0.011,0.0
980,BE,2024,DDT (sum),30,0.0,0.0,0.0,1.0,0.014,0.0
974,BE,2024,Chlorate,13,0.0,0.0,0.0,1.0,0.022,0.0
1024,CY,2011,DDT (sum),21,0.0,0.0,0.0,1.0,0.0021,0.0002
1277,CY,2014,DDT (sum),20,0.0,0.0,0.0,3.0,0.004,0.0008
1337,CY,2015,DDT (sum),16,0.0,0.0,0.0,1.0,0.0036,0.0002
1431,CY,2016,DDT (sum),25,0.0,0.0,0.0,2.0,0.005,0.0018
2033,CY,2023,Copper compounds,5,0.0,0.0,0.0,5.0,0.0436,0.0047
2042,CY,2024,Copper compounds,5,0.0,0.0,0.0,4.0,0.0422,0.0114
2243,CZ,2017,DDT (sum),36,0.0,0.0,0.0,2.0,0.0,0.0
2257,CZ,2017,Hexachlorobenzene,36,0.0,0.0,0.0,2.0,0.0,0.0
2259,CZ,2017,Lindane,36,0.0,0.0,0.0,2.0,0.0,0.0
2274,CZ,2018,DDT (sum),10,0.0,0.0,0.0,1.0,0.001,0.0
2325,CZ,2021,DDT (sum),12,0.0,0.0,0.0,1.0,0.001,0.0
2396,CZ,2024,DDT (sum),25,0.0,0.0,0.0,2.0,0.0046,0.0033
2394,CZ,2024,Copper compounds,12,0.0,0.0,0.0,7.0,0.0757,0.0251
2443,DE,2011,DDT (sum),211,0.0,0.0,0.0,126.0,0.001,0.0013
2459,DE,2011,HCH-alpha,211,0.0,0.0,0.0,1.0,0.0,0.0
2460,DE,2011,HCH-beta,211,0.0,0.0,0.0,1.0,0.0006,0.0
2463,DE,2011,Hexachlorobenzene,211,0.0,0.0,0.0,170.0,0.0011,0.0011
2467,DE,2011,Lindane,211,0.0,0.0,0.0,2.0,0.0006,0.0001
2589,DE,2012,DDT (sum),373,0.0,0.0,0.0,101.0,0.0015,0.0035
2694,DE,2012,Hexachlorobenzene,373,1.0,0.006,0.0,151.0,0.0005,0.0009
2691,DE,2012,HCH-beta,372,0.0,0.0,0.0,1.0,0.0,0.0
2629,DE,2012,Endrin,350,0.0,0.0,0.0,3.0,0.0001,0.0
2767,DE,2012,Permethrin (sum),239,0.0,0.0,0.0,1.0,0.0005,0.0
2721,DE,2012,Mercury compounds,158,0.0,0.0,0.0,12.0,0.0031,0.0016
2574,DE,2012,Copper compounds,117,0.0,0.0,0.0,67.0,0.5248,0.2309
2752,DE,2012,Not in list,42,12.0,0.3778,0.4904,0.0,0.0,0.0
2588,DE,2012,DDAC (mix),18,4.0,23.1825,44.2045,1.0,0.029,0.0
2907,DE,2013,DDT (sum),186,0.0,0.0,0.0,58.0,0.0006,0.0016
2968,DE,2013,Heptachlor (sum),183,0.0,0.0,0.0,3.0,0.0003,0.0002
2969,DE,2013,Hexachlorobenzene,183,0.0,0.0,0.0,134.0,0.0002,0.0005
2989,DE,2013,Mercury compounds,94,0.0,0.0,0.0,1.0,0.0028,0.0
2895,DE,2013,Copper compounds,89,0.0,0.0,0.0,33.0,0.07,0.0225
2866,DE,2013,Benzalkonium chloride,49,0.0,0.0,0.0,2.0,0.042,0.0396
2906,DE,2013,DDAC (mix),49,1.0,1.72,0.0,0.0,0.0,0.0
3134,DE,2014,DDT (sum),231,0.0,0.0,0.0,84.0,0.0005,0.0007
3192,DE,2014,Lindane,230,0.0,0.0,0.0,5.0,0.0001,0.0
3185,DE,2014,Hexachlorobenzene,212,0.0,0.0,0.0,186.0,0.0002,0.0002
3218,DE,2014,Permethrin (sum),205,0.0,0.0,0.0,3.0,0.0011,0.0005
3098,DE,2014,Benzalkonium chloride,67,17.0,1.9585,3.5192,7.0,0.0476,0.0209
3133,DE,2014,DDAC (mix),64,11.0,6.6,10.0142,0.0,0.0,0.0
3096,DE,2014,BAC 18,53,1.0,0.87,0.0,1.0,0.068,0.0
3195,DE,2014,Mercury compounds,18,0.0,0.0,0.0,1.0,0.0017,0.0
3127,DE,2014,Copper compounds,9,0.0,0.0,0.0,5.0,0.1794,0.0795
3342,DE,2015,DDT (sum),322,0.0,0.0,0.0,51.0,0.0004,0.0007
3466,DE,2015,Lindane,322,0.0,0.0,0.0,5.0,0.0,0.0
3442,DE,2015,HCH-beta,306,0.0,0.0,0.0,1.0,0.0001,0.0
3446,DE,2015,Hexachlorobenzene,289,0.0,0.0,0.0,78.0,0.0002,0.0002
3520,DE,2015,Permethrin (sum),272,0.0,0.0,0.0,1.0,0.0013,0.0
3288,DE,2015,Benzalkonium chloride,76,11.0,1.8975,1.7792,5.0,0.0484,0.0272
3341,DE,2015,DDAC (mix),76,10.0,7.4252,7.0323,0.0,0.0,0.0
3477,DE,2015,Mercury compounds,39,0.0,0.0,0.0,2.0,0.0066,0.0037
3332,DE,2015,Copper compounds,28,0.0,0.0,0.0,23.0,0.063,0.0176
3683,DE,2016,DDT (sum),204,0.0,0.0,0.0,20.0,0.0002,0.0003
3811,DE,2016,Lindane,204,0.0,0.0,0.0,1.0,0.0,0.0
3787,DE,2016,Hexachlorobenzene,199,0.0,0.0,0.0,49.0,0.0001,0.0001
3678,DE,2016,Cypermethrin (sum),195,0.0,0.0,0.0,1.0,0.0016,0.0
3685,DE,2016,Deltamethrin,195,0.0,0.0,0.0,1.0,0.0012,0.0
3633,DE,2016,Benzalkonium chloride,97,1.0,0.15,0.0,0.0,0.0,0.0
3656,DE,2016,Chlorate,49,0.0,0.0,0.0,1.0,0.018,0.0
3671,DE,2016,Copper compounds,20,0.0,0.0,0.0,9.0,0.0582,0.0068
4021,DE,2017,DDT (sum),177,0.0,0.0,0.0,16.0,0.0004,0.0007
4130,DE,2017,Lindane,177,0.0,0.0,0.0,1.0,0.0,0.0
4109,DE,2017,Hexachlorobenzene,172,0.0,0.0,0.0,16.0,0.0001,0.0
4010,DE,2017,Copper compounds,55,0.0,0.0,0.0,40.0,0.3285,0.2326
4230,DE,2017,Tetraconazole (sum),45,0.0,0.0,0.0,1.0,0.006,0.0
3974,DE,2017,BAC 12,28,0.0,0.0,0.0,1.0,0.024,0.0
3984,DE,2017,Benzalkonium chloride,9,0.0,0.0,0.0,1.0,0.024,0.0
4318,DE,2018,DDT (sum),149,0.0,0.0,0.0,8.0,0.0114,0.0089
4408,DE,2018,Hexachlorobenzene,148,0.0,0.0,0.0,2.0,0.0035,0.0021
4265,DE,2018,BAC 14,69,0.0,0.0,0.0,1.0,0.014,0.0
4273,DE,2018,Benzalkonium chloride,41,0.0,0.0,0.0,1.0,0.02,0.0
4305,DE,2018,Copper compounds,40,0.0,0.0,0.0,19.0,0.0643,0.0381
4663,DE,2019,DDT (sum),192,0.0,0.0,0.0,5.0,0.0069,0.0029
4650,DE,2019,Copper compounds,55,0.0,0.0,0.0,29.0,0.0604,0.017
4988,DE,2021,BAC 12,154,0.0,0.0,0.0,1.0,0.013,0.0
4989,DE,2021,BAC 14,154,0.0,0.0,0.0,1.0,0.014,0.0
4999,DE,2021,Benzalkonium chloride,154,0.0,0.0,0.0,1.0,0.027,0.0
5061,DE,2021,DDAC (mix),154,0.0,0.0,0.0,2.0,0.0225,0.0133
5062,DE,2021,DDT (sum),132,0.0,0.0,0.0,3.0,0.0072,0.0015
5199,DE,2021,Lindane,132,0.0,0.0,0.0,3.0,0.0008,0.0001
5173,DE,2021,Hexachlorobenzene,131,0.0,0.0,0.0,1.0,0.001,0.0
5048,DE,2021,Copper compounds,44,0.0,0.0,0.0,28.0,0.0554,0.0105
5030,DE,2021,Chlorate,15,0.0,0.0,0.0,1.0,0.015,0.0
5409,DE,2022,Benzalkonium chloride,193,0.0,0.0,0.0,2.0,0.0115,0.0007
5464,DE,2022,DDAC (mix),193,0.0,0.0,0.0,1.0,0.027,0.0
5398,DE,2022,BAC 12,190,0.0,0.0,0.0,1.0,0.011,0.0
5399,DE,2022,BAC 14,190,0.0,0.0,0.0,1.0,0.012,0.0
5451,DE,2022,Copper compounds,30,0.0,0.0,0.0,14.0,0.0559,0.0056
5801,DE,2023,BAC 12,159,0.0,0.0,0.0,2.0,0.012,0.0028
5802,DE,2023,BAC 14,159,0.0,0.0,0.0,1.0,0.022,0.0
5811,DE,2023,Benzalkonium chloride,119,0.0,0.0,0.0,2.0,0.023,0.0184
5851,DE,2023,Copper compounds,34,0.0,0.0,0.0,11.0,0.0556,0.0051
6129,DE,2024,BAC 12,168,0.0,0.0,0.0,1.0,0.01,0.0
6137,DE,2024,Benzalkonium chloride,168,0.0,0.0,0.0,1.0,0.01,0.0
6252,DE,2024,Hexachlorobenzene,106,0.0,0.0,0.0,5.0,0.0001,0.0
6154,DE,2024,Chlorate,38,1.0,0.11,0.0,0.0,0.0,0.0
6267,DE,2024,Mercury compounds,34,0.0,0.0,0.0,3.0,0.0019,0.0006
6169,DE,2024,Copper compounds,29,0.0,0.0,0.0,10.0,0.058,0.0096
6918,DK,2020,Copper compounds,7,0.0,0.0,0.0,7.0,0.04,0.0191
6948,DK,2021,Copper compounds,8,0.0,0.0,0.0,7.0,0.0152,0.0099
6962,DK,2021,Mercury compounds,8,0.0,0.0,0.0,4.0,0.0003,0.0001
6979,DK,2022,Copper compounds,10,0.0,0.0,0.0,1.0,0.052,0.0
7017,DK,2023,Copper compounds,9,0.0,0.0,0.0,9.0,0.0443,0.0082
7035,DK,2023,Mercury compounds,9,0.0,0.0,0.0,1.0,0.001,0.0
8616,ES,2024,Cypermethrin (sum),17,1.0,0.071,0.0,3.0,0.0207,0.0119
8895,FR,2013,Heptachlor (sum),68,0.0,0.0,0.0,2.0,0.0004,0.0001
9451,FR,2018,Deltamethrin,48,0.0,0.0,0.0,1.0,0.002,0.0
9636,FR,2019,Dieldrin (sum),95,0.0,0.0,0.0,1.0,0.0008,0.0
9490,FR,2019,2-phenylphenol (sum),26,1.0,0.19,0.0,0.0,0.0,0.0
10601,FR,2021,Chlorpyrifos-methyl,54,0.0,0.0,0.0,1.0,0.0006,0.0
11170,FR,2022,Dieldrin (sum),87,0.0,0.0,0.0,1.0,0.005,0.0
11744,GB,2016,BAC 12,197,0.0,0.0,0.0,3.0,0.0833,0.0208
11748,GB,2016,Benzalkonium chloride,197,0.0,0.0,0.0,3.0,0.0833,0.0208
11844,GB,2017,BAC 12,269,0.0,0.0,0.0,2.0,0.08,0.0283
11849,GB,2017,Benzalkonium chloride,269,0.0,0.0,0.0,2.0,0.08,0.0283
11957,GB,2018,BAC 12,279,0.0,0.0,0.0,6.0,0.0883,0.016
11962,GB,2018,Benzalkonium chloride,279,0.0,0.0,0.0,6.0,0.0883,0.016
11947,GB,2018,"2,4-D (sum)",1,1.0,0.01,0.0,0.0,0.0,0.0
12069,GB,2019,BAC 12,297,1.0,0.2,0.0,1.0,0.1,0.0
12070,GB,2019,BAC 14,297,0.0,0.0,0.0,1.0,0.08,0.0
13468,HR,2015,Chlordane (sum),30,1.0,0.001,0.0,0.0,0.0,0.0
13469,HR,2015,Chlorobenzilate,30,0.0,0.0,0.0,1.0,0.002,0.0
13474,HR,2015,DDT (sum),30,0.0,0.0,0.0,2.0,0.0042,0.0015
13478,HR,2015,Endosulfan (sum),30,0.0,0.0,0.0,1.0,0.002,0.0
13488,HR,2015,HCH-alpha,30,0.0,0.0,0.0,1.0,0.001,0.0
13491,HR,2015,Hexachlorobenzene,30,0.0,0.0,0.0,7.0,0.001,0.0001
13495,HR,2015,Methoxychlor,30,0.0,0.0,0.0,3.0,0.002,0.0
14054,HU,2014,Famoxadone,19,0.0,0.0,0.0,1.0,0.0087,0.0
15409,HU,2020,2-phenylphenol (sum),13,0.0,0.0,0.0,13.0,0.01,0.0
15410,HU,2020,"3-[(6-iodo-4-oxo-3-propyl-3,4-dihydroquinazolin-2-yl)oxy]propanoic acid",13,13.0,0.01,0.0,0.0,0.0,0.0
15411,HU,2020,Abamectin (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15412,HU,2020,Acephate,13,13.0,0.01,0.0,0.0,0.0,0.0
15413,HU,2020,Acetochlor,13,13.0,0.01,0.0,0.0,0.0,0.0
15414,HU,2020,Aclonifen,13,13.0,0.01,0.0,0.0,0.0,0.0
15415,HU,2020,Alachlor,13,13.0,0.01,0.0,0.0,0.0,0.0
15416,HU,2020,Aldicarb (sum),13,13.0,0.0092,0.0075,0.0,0.0,0.0
15417,HU,2020,Ametoctradin (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15418,HU,2020,Ametryn,13,13.0,0.01,0.0,0.0,0.0,0.0
15419,HU,2020,Amitraz (sum),13,13.0,0.0042,0.0036,0.0,0.0,0.0
15420,HU,2020,Atrazine,13,13.0,0.01,0.0,0.0,0.0,0.0
15421,HU,2020,"Atrazine, Desisopropyl-",13,13.0,0.01,0.0,0.0,0.0,0.0
15423,HU,2020,Azinphos-ethyl,13,0.0,0.0,0.0,13.0,0.01,0.0
15424,HU,2020,Azinphos-methyl,13,0.0,0.0,0.0,13.0,0.01,0.0
15425,HU,2020,Aziprotryne,13,13.0,0.01,0.0,0.0,0.0,0.0
15426,HU,2020,Azoxystrobin,13,13.0,0.01,0.0,0.0,0.0,0.0
15427,HU,2020,Benalaxyl (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15428,HU,2020,Benzovindiflupyr,13,13.0,0.01,0.0,0.0,0.0,0.0
15429,HU,2020,Bifenox,13,13.0,0.01,0.0,0.0,0.0,0.0
15430,HU,2020,Bifenthrin (sum),13,0.0,0.0,0.0,13.0,0.01,0.0
15431,HU,2020,Bioresmethrin,13,13.0,0.01,0.0,0.0,0.0,0.0
15432,HU,2020,Biphenyl,13,13.0,0.01,0.0,0.0,0.0,0.0
15433,HU,2020,Bitertanol (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15434,HU,2020,Bixafen (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15435,HU,2020,Boscalid (sum),13,0.0,0.0,0.0,13.0,0.01,0.0
15436,HU,2020,Bromfenvinfos,13,13.0,0.01,0.0,0.0,0.0,0.0
15437,HU,2020,Bromophos,13,13.0,0.01,0.0,0.0,0.0,0.0
15438,HU,2020,Bromophos-ethyl,13,13.0,0.01,0.0,0.0,0.0,0.0
15439,HU,2020,Bromopropylate,13,13.0,0.01,0.0,0.0,0.0,0.0
15440,HU,2020,Bromuconazole (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15441,HU,2020,Bupirimate,13,13.0,0.01,0.0,0.0,0.0,0.0
15442,HU,2020,Buprofezin,13,13.0,0.01,0.0,0.0,0.0,0.0
15443,HU,2020,Butylate,13,13.0,0.01,0.0,0.0,0.0,0.0
15444,HU,2020,Cadusafos,13,13.0,0.01,0.0,0.0,0.0,0.0
15445,HU,2020,Carbaryl,13,13.0,0.01,0.0,0.0,0.0,0.0
15446,HU,2020,Carbendazim and benomyl (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15447,HU,2020,Carbendazim and thiophanate-methyl (sum),13,13.0,0.016,0.0,0.0,0.0,0.0
15448,HU,2020,Carbofuran (sum),13,13.0,0.001,0.0,0.0,0.0,0.0
15449,HU,2020,Carboxin,13,13.0,0.01,0.0,0.0,0.0,0.0
15450,HU,2020,Chlorantraniliprole,13,13.0,0.01,0.0,0.0,0.0,0.0
15451,HU,2020,Chlorbromuron,13,13.0,0.01,0.0,0.0,0.0,0.0
15452,HU,2020,Chlorfenvinphos,13,13.0,0.01,0.0,0.0,0.0,0.0
15453,HU,2020,Chlorfluazuron,13,13.0,0.01,0.0,0.0,0.0,0.0
15454,HU,2020,Chlorobenzilate,13,0.0,0.0,0.0,13.0,0.01,0.0
15455,HU,2020,Chlorothalonil (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15456,HU,2020,Chlorotoluron (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15457,HU,2020,Chlorpyrifos,13,0.0,0.0,0.0,13.0,0.005,0.0
15458,HU,2020,Chlorpyrifos-methyl,13,0.0,0.0,0.0,13.0,0.005,0.0
15459,HU,2020,Cinidon-ethyl (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15460,HU,2020,Clofentezine (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15461,HU,2020,Clomazone (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15462,HU,2020,Coumaphos,13,13.0,0.01,0.0,0.0,0.0,0.0
15463,HU,2020,Cyanazine,13,13.0,0.01,0.0,0.0,0.0,0.0
15464,HU,2020,Cyazofamid,13,13.0,0.01,0.0,0.0,0.0,0.0
15465,HU,2020,Cycloate,13,13.0,0.01,0.0,0.0,0.0,0.0
15466,HU,2020,Cycloxydim (sum),13,13.0,0.022,0.0122,0.0,0.0,0.0
15467,HU,2020,Cyfluthrin (sum),13,0.0,0.0,0.0,13.0,0.01,0.0
15468,HU,2020,Cymoxanil,13,13.0,0.01,0.0,0.0,0.0,0.0
15469,HU,2020,Cypermethrin (sum),13,0.0,0.0,0.0,13.0,0.01,0.0
15470,HU,2020,Cyproconazole (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15471,HU,2020,Cyprodinil (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15472,HU,2020,DDT (sum),13,0.0,0.0,0.0,13.0,0.0102,0.0082
15473,HU,2020,Deltamethrin,13,0.0,0.0,0.0,13.0,0.02,0.0
15474,HU,2020,Desmedipham,13,13.0,0.01,0.0,0.0,0.0,0.0
15475,HU,2020,Diazinon,13,0.0,0.0,0.0,13.0,0.01,0.0
15476,HU,2020,Dichlofluanid and DMSA (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15477,HU,2020,Dichlorvos,13,13.0,0.01,0.0,0.0,0.0,0.0
15478,HU,2020,Diclobutrazol,13,13.0,0.01,0.0,0.0,0.0,0.0
15479,HU,2020,Dicloran,13,13.0,0.01,0.0,0.0,0.0,0.0
15480,HU,2020,Dicofol (sum),13,13.0,0.0133,0.0048,0.0,0.0,0.0
15481,HU,2020,Dieldrin (sum),13,0.0,0.0,0.0,13.0,0.0027,0.001
15482,HU,2020,Diethofencarb,13,13.0,0.01,0.0,0.0,0.0,0.0
15483,HU,2020,Difenoconazole,13,13.0,0.005,0.0,0.0,0.0,0.0
15484,HU,2020,Diflubenzuron (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15485,HU,2020,Diflufenican,13,13.0,0.01,0.0,0.0,0.0,0.0
15486,HU,2020,Dimethachlor,13,13.0,0.01,0.0,0.0,0.0,0.0
15487,HU,2020,Dimethenamid (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15489,HU,2020,Dimethomorph (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15490,HU,2020,Dimoxystrobin (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15491,HU,2020,Diniconazole (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15492,HU,2020,Diphenylamine,13,0.0,0.0,0.0,13.0,0.01,0.0
15493,HU,2020,Disulfoton (sum),13,13.0,0.0045,0.0026,0.0,0.0,0.0
15494,HU,2020,Ditalimfos,13,13.0,0.01,0.0,0.0,0.0,0.0
15495,HU,2020,Diuron,13,13.0,0.01,0.0,0.0,0.0,0.0
15496,HU,2020,Dodine,13,13.0,0.01,0.0,0.0,0.0,0.0
15497,HU,2020,EPN,13,13.0,0.0094,0.0022,0.0,0.0,0.0
15498,HU,2020,Emamectin (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15499,HU,2020,Endosulfan (sum),13,0.0,0.0,0.0,13.0,0.0075,0.0044
15500,HU,2020,Endrin,13,4.0,0.005,0.0,9.0,0.0008,0.0
15501,HU,2020,Endrin ketone,13,13.0,0.005,0.0,0.0,0.0,0.0
15502,HU,2020,Epoxiconazole,13,13.0,0.002,0.0,0.0,0.0,0.0
15503,HU,2020,Ethiofencarb,13,13.0,0.01,0.0,0.0,0.0,0.0
15504,HU,2020,Ethiofencarb-Sulfon,13,13.0,0.01,0.0,0.0,0.0,0.0
15505,HU,2020,Ethiofencarb-Sulfoxid,13,13.0,0.01,0.0,0.0,0.0,0.0
15506,HU,2020,Ethion,13,13.0,0.01,0.0,0.0,0.0,0.0
15507,HU,2020,Ethirimol,13,13.0,0.01,0.0,0.0,0.0,0.0
15508,HU,2020,Ethoprophos,13,13.0,0.01,0.0,0.0,0.0,0.0
15509,HU,2020,Etofenprox,13,0.0,0.0,0.0,13.0,0.01,0.0
15510,HU,2020,Etoxazole,13,13.0,0.01,0.0,0.0,0.0,0.0
15511,HU,2020,Etrimfos,13,13.0,0.01,0.0,0.0,0.0,0.0
15512,HU,2020,Famoxadone,13,0.0,0.0,0.0,13.0,0.01,0.0
15513,HU,2020,Fenamidone,13,13.0,0.01,0.0,0.0,0.0,0.0
15514,HU,2020,Fenarimol,13,13.0,0.01,0.0,0.0,0.0,0.0
15515,HU,2020,Fenazaquin,13,13.0,0.01,0.0,0.0,0.0,0.0
15516,HU,2020,Fenbuconazole (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15517,HU,2020,Fenhexamid,13,13.0,0.01,0.0,0.0,0.0,0.0
15518,HU,2020,Fenitrothion,13,13.0,0.01,0.0,0.0,0.0,0.0
15519,HU,2020,Fenoxycarb,13,13.0,0.01,0.0,0.0,0.0,0.0
15520,HU,2020,Fenpropathrin,13,13.0,0.01,0.0,0.0,0.0,0.0
15521,HU,2020,Fenpropimorph (sum),13,0.0,0.0,0.0,13.0,0.01,0.0
15522,HU,2020,Fenpyrazamine,13,13.0,0.01,0.0,0.0,0.0,0.0
15523,HU,2020,Fenpyroximate,13,13.0,0.01,0.0,0.0,0.0,0.0
15524,HU,2020,Fenthion (sum),13,13.0,0.002,0.0,13.0,0.0027,0.0029
15525,HU,2020,Fenvalerate/Esfenvalerate (sum),13,0.0,0.0,0.0,13.0,0.01,0.0
15526,HU,2020,Fipronil (sum),13,1.0,0.01,0.0,13.0,0.003,0.0012
15527,HU,2020,Fluazinam,13,13.0,0.01,0.0,0.0,0.0,0.0
15528,HU,2020,Flubendiamide (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15529,HU,2020,Fludioxonil (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15530,HU,2020,Flufenacet (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15531,HU,2020,Flufenoxuron,13,13.0,0.01,0.0,0.0,0.0,0.0
15532,HU,2020,Flumethrin,13,13.0,0.01,0.0,0.0,0.0,0.0
15533,HU,2020,Flumioxazin,13,13.0,0.01,0.0,0.0,0.0,0.0
15534,HU,2020,Fluometuron,13,13.0,0.01,0.0,0.0,0.0,0.0
15535,HU,2020,Fluopicolide,13,13.0,0.01,0.0,0.0,0.0,0.0
15536,HU,2020,Fluopyram (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15537,HU,2020,Fluoxastrobin (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15538,HU,2020,Fluquinconazole,13,0.0,0.0,0.0,13.0,0.01,0.0
15539,HU,2020,Flurochloridone (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15540,HU,2020,Flusilazole (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15541,HU,2020,Flutolanil (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15542,HU,2020,Flutriafol,13,13.0,0.01,0.0,0.0,0.0,0.0
15543,HU,2020,Fluvalinate (sum),13,0.0,0.0,0.0,13.0,0.01,0.0
15544,HU,2020,Fluxapyroxad,13,13.0,0.01,0.0,0.0,0.0,0.0
15545,HU,2020,Folpet (sum),13,13.0,0.02,0.0,0.0,0.0,0.0
15546,HU,2020,Fomesafen,13,13.0,0.01,0.0,0.0,0.0,0.0
15547,HU,2020,Fonofos,13,13.0,0.01,0.0,0.0,0.0,0.0
15548,HU,2020,Formothion,13,13.0,0.01,0.0,0.0,0.0,0.0
15549,HU,2020,Fosthiazate,13,13.0,0.01,0.0,0.0,0.0,0.0
15550,HU,2020,Fuberidazole,13,13.0,0.01,0.0,0.0,0.0,0.0
15551,HU,2020,HCH-alpha,13,0.0,0.0,0.0,13.0,0.005,0.0
15552,HU,2020,HCH-beta,13,0.0,0.0,0.0,13.0,0.005,0.0
15553,HU,2020,Heptachlor (sum),13,7.0,0.01,0.0052,6.0,0.002,0.001
15554,HU,2020,Heptenophos,13,13.0,0.01,0.0,0.0,0.0,0.0
15555,HU,2020,Hexachlorobenzene,13,0.0,0.0,0.0,13.0,0.005,0.0
15556,HU,2020,Hexaconazole,13,13.0,0.01,0.0,0.0,0.0,0.0
15557,HU,2020,Hexaflumuron,13,13.0,0.01,0.0,0.0,0.0,0.0
15558,HU,2020,Hexazinone,13,13.0,0.01,0.0,0.0,0.0,0.0
15559,HU,2020,Hexythiazox (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
15560,HU,2020,Imazalil (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
