,paramcode,tag,long_name,obligatory,voluntary,total_samples
288,RF-0139-003-PPP,Dimethoate (sum),Dimethoate,764.0,2817.0,3581.0
337,RF-0183-001-PPP,Fenpropathrin,Fenpropathrin,690.0,2851.0,3541.0
847,RF-0698-001-PPP,Fluazifop,Fluazifop,778.0,2757.0,3535.0
493,RF-0337-001-PPP,Phosalone,Phosalone,755.0,2769.0,3524.0
1029,RF-0920-001-PPP,Tetrachlorvinphos,Tetrachlorvinphos,806.0,2616.0,3422.0
209,RF-0062-001-PPP,Carbaryl,Carbaryl,595.0,2814.0,3409.0
413,RF-0265-001-PPP,Lufenuron (sum),Lufenuron (any ratio of constituent isomers),754.0,2601.0,3355.0
152,RF-0012-001-PPP,Acephate,Acephate,638.0,2711.0,3349.0
537,RF-0375-001-PPP,Pyridaben,Pyridaben,802.0,2503.0,3305.0
1089,RF-1002-001-PPP,Carbendazim and thiophanate-methyl (sum),"Carbendazim and thiophanate-methyl, expressed as carbendazim",811.0,2459.0,3270.0
384,RF-0236-003-PPP,Heptachlor (sum),"Heptachlorepoxide, trans-",685.0,2571.0,3256.0
541,RF-0378-001-PPP,Pyriproxyfen,Pyriproxyfen,839.0,2398.0,3237.0
505,RF-0347-003-PPP,Pirimicarb (sum),Desmethyl Pirimicarb,739.0,2463.0,3202.0
470,RF-0320-001-PPP,Oxamyl,Oxamyl,767.0,2387.0,3154.0
353,RF-0204-001-PPP,Flufenoxuron,Flufenoxuron,768.0,2369.0,3137.0
444,RF-0293-002-PPP,Methomyl and Thiodicarb (sum),Thiodicarb,766.0,2358.0,3124.0
437,RF-0291-002-PPP,Methiocarb (sum),Methiocarb,742.0,2377.0,3119.0
212,RF-0065-002-PPP,Carbofuran (sum),"Carbofuran, 3-hydroxy",476.0,2637.0,3113.0
571,RF-0408-001-PPP,Tefluthrin (sum),Tefluthrin,742.0,2346.0,3088.0
438,RF-0291-003-PPP,Methiocarb (sum),Methiocarb-Sulfoxid,721.0,2340.0,3061.0
971,RF-0851-001-PPP,Pirimiphos-Ethyl,Pirimiphos-Ethyl,635.0,2405.0,3040.0
645,RF-0484-001-PPP,Azamethiphos,Azamethiphos,502.0,2516.0,3018.0
439,RF-0291-004-PPP,Methiocarb (sum),Methiocarb-Sulfon,691.0,2313.0,3004.0
451,RF-0302-001-PPP,Mevinphos (sum),Mevinphos (sum of E- and Z-isomers),690.0,2304.0,2994.0
182,RF-0035-001-PPP,Azoxystrobin,Azoxystrobin,616.0,2356.0,2972.0
841,RF-0692-002-PPP,Fipronil (sum),Fipronil-Desulfinyl,573.0,2390.0,2963.0
503,RF-0347-001-PPP,Pirimicarb (sum),Pirimicarb (sum of Pirimicarb and Desmethyl pirimicarb expressed as Pirimicarb),699.0,2170.0,2869.0
213,RF-0065-003-PPP,Carbofuran (sum),Carbofuran,472.0,2396.0,2868.0
815,RF-0668-001-PPP,Etrimfos,Etrimfos,631.0,2231.0,2862.0
504,RF-0347-002-PPP,Pirimicarb (sum),Pirimicarb,731.0,2117.0,2848.0
649,RF-0489-001-PPP,Bendiocarb,Bendiocarb,557.0,2260.0,2817.0
397,RF-0250-001-PPP,Imidacloprid,Imidacloprid,573.0,2189.0,2762.0
546,RF-0383-003-PPP,Quintozene (sum),Pentachloroaniline,817.0,1869.0,2686.0
1,RF-00000010-PAR,Bixafen (sum),"Bixafen (sum of bixafen and desmethyl-bixafen, expressed as bixafen)",409.0,2263.0,2672.0
581,RF-0416-001-PPP,Thiabendazole,Thiabendazole,561.0,2101.0,2662.0
675,RF-0517-001-PPP,Bromophos,Bromophos,647.0,1981.0,2628.0
246,RF-0101-001-PPP,Thiamethoxam (sum),Clothianidin,459.0,2166.0,2625.0
1031,RF-0922-001-PPP,Tetramethrin,Tetramethrin,569.0,2042.0,2611.0
880,RF-0736-001-PPP,HCH (sum),"HCH, delta-",552.0,2033.0,2585.0
488,RF-0336-003-PPP,Phorate (sum),Phorate,616.0,1913.0,2529.0
1015,RF-0903-001-PPP,Sulfotep,Sulfotep,557.0,1964.0,2521.0
200,RF-0052-001-PPP,Bromopropylate,Bromopropylate,576.0,1937.0,2513.0
474,RF-0323-003-PPP,Oxydemeton-methyl (sum),Demeton-S-Methylsulfone,539.0,1951.0,2490.0
673,RF-0515-001-PPP,Bromocyclen,Bromocyclen,293.0,2171.0,2464.0
515,RF-0358-001-PPP,Propiconazole (sum),Propiconazole (sum of isomers),652.0,1767.0,2419.0
871,RF-0724-001-PPP,Fonofos,Fonofos,456.0,1956.0,2412.0
163,RF-0020-002-PPP,Aldicarb (sum),Aldicarb,403.0,2002.0,2405.0
431,RF-0285-001-PPP,Metazachlor,Metazachlor,542.0,1856.0,2398.0
368,RF-0218-002-PPP,Flusilazole (sum),Flusilazole (sum of flusilazole and its metabolite IN-F7321 ([bis-(4-fluorophenyl)methyl]silanol) expressed as flusilazole),502.0,1880.0,2382.0
945,RF-0810-001-PPP,Nitenpyram,Nitenpyram,418.0,1950.0,2368.0
165,RF-0020-004-PPP,Aldicarb (sum),Aldicarb-Sulfone,387.0,1978.0,2365.0
331,RF-0178-002-PPP,Fenchlorphos (sum),Fenchlorphos,460.0,1901.0,2361.0
274,RF-0130-001-PPP,Dicofol (sum),"Dicofol (sum of p, p' and o,p' isomers)",510.0,1844.0,2354.0
164,RF-0020-003-PPP,Aldicarb (sum),Aldicarb-Sulfoxide,387.0,1960.0,2347.0
590,RF-0424-001-PPP,Tolclofos-methyl,Tolclofos-methyl,572.0,1774.0,2346.0
899,RF-0758-001-PPP,Isofenphos-methyl,Isofenphos-methyl,492.0,1822.0,2314.0
215,RF-0068-001-PPP,Carbosulfan,Carbosulfan,266.0,2031.0,2297.0
319,RF-0169-001-PPP,Etoxazole,Etoxazole,373.0,1901.0,2274.0
514,RF-0357-001-PPP,Propargite,Propargite,584.0,1648.0,2232.0
278,RF-0133-001-PPP,Difenoconazole,Difenoconazole,472.0,1750.0,2222.0
326,RF-0174-001-PPP,Fenarimol,Fenarimol,604.0,1612.0,2216.0
543,RF-0380-001-PPP,Quinalphos,Quinalphos,529.0,1684.0,2213.0
987,RF-0869-001-PPP,Prothiofos,Prothiofos,482.0,1701.0,2183.0
456,RF-0305-001-PPP,Monocrotophos,Monocrotophos,514.0,1667.0,2181.0
802,RF-0653-001-PPP,Endrin (sum),Endrin ketone (expressed as endrin),286.0,1891.0,2177.0
833,RF-0685-002-PPP,Fensulfothion (sum),Fensulfothion,427.0,1725.0,2152.0
580,RF-0415-001-PPP,Tetradifon,Tetradifon,549.0,1600.0,2149.0
469,RF-0319-001-PPP,Oxadixyl,Oxadixyl,509.0,1636.0,2145.0
327,RF-0175-001-PPP,Fenazaquin,Fenazaquin,495.0,1638.0,2133.0
35,RF-00003037-PAR,Tebuconazole (sum),"Tebuconazole (sum of tebuconazole, hydroxy-tebuconazole, and their conjugates, expressed as tebuconazole)",345.0,1748.0,2093.0
370,RF-0220-001-PPP,Flutriafol,Flutriafol,486.0,1602.0,2088.0
606,RF-0439-001-PPP,Trifloxystrobin,Trifloxystrobin,508.0,1576.0,2084.0
545,RF-0382-001-PPP,Quinoxyfen,Quinoxyfen,501.0,1568.0,2069.0
596,RF-0428-003-PPP,Triadimefon and triadimenol (sum),Triadimefon,527.0,1540.0,2067.0
436,RF-0291-001-PPP,Methiocarb (sum),"Methiocarb (sum of methiocarb and methiocarb sulfoxide and sulfone, expressed as methiocarb)",524.0,1542.0,2066.0
154,RF-0014-001-PPP,Acetamiprid (sum),Acetamiprid,419.0,1634.0,2053.0
588,RF-0422-001-PPP,Carbendazim and benomyl (sum),Thiophanate-methyl,518.0,1532.0,2050.0
291,RF-0142-001-PPP,Diniconazole (sum),Diniconazole (sum of isomers),533.0,1513.0,2046.0
150,RF-0011-003-PPP,Abamectin (sum),Avermectin B1a,161.0,1874.0,2035.0
170,RF-0024-003-PPP,Amitraz (sum),"Dimethylphenylformamide, 2,4-",297.0,1730.0,2027.0
300,RF-0149-004-PPP,Disulfoton (sum),Disulfoton-Sulfon,557.0,1463.0,2020.0
967,RF-0846-001-PPP,Phenthoate,Phenthoate,452.0,1565.0,2017.0
569,RF-0405-001-PPP,Tebufenpyrad,Tebufenpyrad,479.0,1530.0,2009.0
273,RF-0129-001-PPP,Dicloran,Dicloran,500.0,1509.0,2009.0
419,RF-0272-001-PPP,Mecarbam,Mecarbam,495.0,1511.0,2006.0
277,RF-0132-001-PPP,Diethofencarb,Diethofencarb,450.0,1554.0,2004.0
204,RF-0056-001-PPP,Buprofezin,Buprofezin,485.0,1516.0,2001.0
620,RF-0452-001-PPP,Zoxamide,Zoxamide,485.0,1515.0,2000.0
803,RF-0654-001-PPP,EPN,EPN,440.0,1558.0,1998.0
506,RF-0350-001-PPP,Procymidone,Procymidone,509.0,1488.0,1997.0
529,RF-0370-001-PPP,Pyraclostrobin,Pyraclostrobin,481.0,1513.0,1994.0
479,RF-0329-001-PPP,Penconazole (sum),Penconazole (sum of constituent isomers),508.0,1486.0,1994.0
763,RF-0612-001-PPP,Dicrotophos,Dicrotophos,430.0,1564.0,1994.0
568,RF-0404-001-PPP,Tebufenozide,Tebufenozide,516.0,1469.0,1985.0
554,RF-0390-001-PPP,Simazine,Simazine,492.0,1484.0,1976.0
198,RF-0048-001-PPP,Bitertanol (sum),Bitertanol (sum of isomers),452.0,1518.0,1970.0
299,RF-0149-003-PPP,Disulfoton (sum),Disulfoton-Sulfoxid,508.0,1460.0,1968.0
560,RF-0394-001-PPP,Spirodiclofen,Spirodiclofen,415.0,1539.0,1954.0
340,RF-0186-001-PPP,Fenpyroximate,Fenpyroximate,462.0,1482.0,1944.0
412,RF-0264-001-PPP,Linuron,Linuron,481.0,1457.0,1938.0
752,RF-0599-001-PPP,Dichlofenthion,Dichlofenthion,357.0,1580.0,1937.0
403,RF-0256-001-PPP,Iprovalicarb,Iprovalicarb,490.0,1444.0,1934.0
604,RF-0437-001-PPP,Tricyclazole,Tricyclazole,463.0,1462.0,1925.0
387,RF-0240-003-PPP,HCH (sum),"Hexachlorocyclohexane (HCH), sum of isomers, except the gamma isomer",355.0,1570.0,1925.0
289,RF-0140-001-PPP,Dimethomorph (sum),Dimethomorph (sum of isomers),465.0,1456.0,1921.0
421,RF-0274-002-PPP,Mepanipyrim,Mepanipyrim,446.0,1471.0,1917.0
339,RF-0184-002-PPP,Fenpropidin (sum),"Fenpropidin (sum of fenpropidin, 2-methyl-2-[4-(2-methyl-3- piperidin-1-yl-propyl)-phenyl]propionic acid, and their salts, expressed as fenpropidin)",292.0,1619.0,1911.0
609,RF-0441-001-PPP,Triflumuron,Triflumuron,447.0,1458.0,1905.0
559,RF-0393-003-PPP,Spinosad (sum),Spinosyn D,314.0,1586.0,1900.0
432,RF-0286-001-PPP,Metconazole (sum),Metconazole (sum of isomers),406.0,1492.0,1898.0
480,RF-0330-001-PPP,Pencycuron,Pencycuron,447.0,1442.0,1889.0
176,RF-0029-001-PPP,Atrazine,Atrazine,392.0,1487.0,1879.0
298,RF-0149-002-PPP,Disulfoton (sum),Disulfoton,585.0,1294.0,1879.0
447,RF-0296-001-PPP,Methoxyfenozide,Methoxyfenozide,472.0,1406.0,1878.0
614,RF-0447-001-PPP,Triticonazole,Triticonazole,437.0,1433.0,1870.0
256,RF-0114-001-PPP,Cyprodinil (sum),Cyprodinil,455.0,1413.0,1868.0
994,RF-0877-001-PPP,Pyridaphenthion,Pyridaphenthion,454.0,1410.0,1864.0
389,RF-0241-001-PPP,Hexaconazole,Hexaconazole,483.0,1378.0,1861.0
473,RF-0323-001-PPP,Oxydemeton-methyl (sum),Oxydemeton-methyl (sum of oxydemeton-methyl and demeton-S-methylsulfone expressed as oxydemeton-methyl),484.0,1372.0,1856.0
350,RF-0202-001-PPP,Fludioxonil,Fludioxonil,413.0,1442.0,1855.0
402,RF-0255-001-PPP,Iprodione,Iprodione,488.0,1363.0,1851.0
377,RF-0226-001-PPP,Fosthiazate,Fosthiazate,397.0,1453.0,1850.0
558,RF-0393-002-PPP,Spinosad (sum),Spinosyn A,288.0,1560.0,1848.0
223,RF-0077-001-PPP,Chlorfenapyr,Chlorfenapyr,465.0,1379.0,1844.0
404,RF-0257-001-PPP,Isoproturon,Isoproturon,420.0,1418.0,1838.0
905,RF-0764-001-PPP,Isoprothiolane,Isoprothiolane,397.0,1435.0,1832.0
601,RF-0435-001-PPP,Trichlorfon,Trichlorfon,393.0,1435.0,1828.0
333,RF-0179-001-PPP,Fenhexamid,Fenhexamid,463.0,1351.0,1814.0
497,RF-0339-001-PPP,Phosphamidon,Phosphamidon,393.0,1419.0,1812.0
579,RF-0413-001-PPP,Terbuthylazine,Terbuthylazine,415.0,1395.0,1810.0
897,RF-0756-001-PPP,Isofenphos,Isofenphos,408.0,1398.0,1806.0
219,RF-0072-001-PPP,Chlorantraniliprole,Chlorantraniliprole,454.0,1345.0,1799.0
322,RF-0173-001-PPP,Fenamiphos (sum),Fenamiphos (sum of fenamiphos and its sulphoxide and sulphone expressed as fenamiphos),326.0,1470.0,1796.0
881,RF-0737-001-PPP,Heptenophos,Heptenophos,406.0,1388.0,1794.0
909,RF-0768-001-PPP,Iodofenphos,Iodofenphos,300.0,1488.0,1788.0
325,RF-0173-004-PPP,Fenamiphos (sum),Fenamiphos,295.0,1487.0,1782.0
576,RF-0412-002-PPP,Terbufos (sum),Terbufos,415.0,1367.0,1782.0
959,RF-0828-001-PPP,Paraoxon,Paraoxon,368.0,1409.0,1777.0
321,RF-0172-001-PPP,Fenamidone,Fenamidone,430.0,1344.0,1774.0
985,RF-0867-001-PPP,Propham,Propham,410.0,1349.0,1759.0
297,RF-0149-001-PPP,Disulfoton (sum),"Disulfoton (sum of disulfoton, disulfoton sulfoxide and disulfoton sulfone expressed as disulfoton)",558.0,1201.0,1759.0
160,RF-0018-001-PPP,Acrinathrin,Acrinathrin,367.0,1391.0,1758.0
929,RF-0791-001-PPP,Metobromuron,Metobromuron,384.0,1371.0,1755.0
540,RF-0377-001-PPP,Pyrimethanil,Pyrimethanil,425.0,1325.0,1750.0
280,RF-0134-002-PPP,Diflubenzuron (sum),Diflubenzuron (sum of Diflubenzuron and 4-chlorophenylurea expressed as Diflubenzuron),171.0,1570.0,1741.0
254,RF-0111-001-PPP,Cymoxanil,Cymoxanil,417.0,1323.0,1740.0
501,RF-0345-001-PPP,Picoxystrobin,Picoxystrobin,437.0,1295.0,1732.0
935,RF-0797-001-PPP,Mirex,Mirex,344.0,1387.0,1731.0
522,RF-0364-001-PPP,Propyzamide (sum),Propyzamide,433.0,1297.0,1730.0
903,RF-0762-001-PPP,Isoprocarb,Isoprocarb,339.0,1380.0,1719.0
552,RF-0387-001-PPP,Rotenone,Rotenone,298.0,1418.0,1716.0
159,RF-0017-001-PPP,Aclonifen,Aclonifen,398.0,1315.0,1713.0
248,RF-0104-001-PPP,Cyazofamid,Cyazofamid,353.0,1359.0,1712.0
393,RF-0246-001-PPP,Imazalil (sum),Imazalil,391.0,1309.0,1700.0
486,RF-0336-001-PPP,Phorate (sum),"Phorate (sum of phorate, its oxygen analogue and their sulfones expressed as phorate)",497.0,1200.0,1697.0
375,RF-0224-001-PPP,Formothion,Formothion,350.0,1347.0,1697.0
621,RF-0453-001-PPP,Dichlofluanid and DMSA (sum),Dichlofluanid,431.0,1259.0,1690.0
357,RF-0208-001-PPP,Fluopicolide,Fluopicolide,408.0,1272.0,1680.0
386,RF-0236-008-PPP,Heptachlor (sum),Heptachlor exo-epoxide,346.0,1314.0,1660.0
279,RF-0134-001-PPP,Diflubenzuron (sum),Diflubenzuron,420.0,1239.0,1659.0
171,RF-0024-004-PPP,Amitraz (sum),"Dimethylphenyl-N-methylformamidine, N-2,4-",180.0,1474.0,1654.0
162,RF-0020-001-PPP,Aldicarb (sum),"Aldicarb (sum of Aldicarb, its sulfoxide and its sulfone, expressed as Aldicarb)",398.0,1245.0,1643.0
882,RF-0738-001-PPP,Hexaflumuron,Hexaflumuron,387.0,1255.0,1642.0
188,RF-0040-001-PPP,Benfuracarb,Benfuracarb,291.0,1333.0,1624.0
185,RF-0038-001-PPP,Benalaxyl (sum),Benalaxyl including other mixtures of constituent isomers including benalaxyl-M (sum of isomers),414.0,1210.0,1624.0
981,RF-0862-001-PPP,Prometryn,Prometryn,359.0,1262.0,1621.0
369,RF-0219-001-PPP,Flutolanil,Flutolanil,390.0,1228.0,1618.0
627,RF-0464-001-PPP,Allethrin,Allethrin,413.0,1201.0,1614.0
449,RF-0299-001-PPP,Metrafenone,Metrafenone,389.0,1224.0,1613.0
895,RF-0754-001-PPP,Isocarbophos,Isocarbophos,383.0,1223.0,1606.0
307,RF-0154-001-PPP,Dodine,Dodine,321.0,1275.0,1596.0
161,RF-0019-001-PPP,Alachlor,Alachlor,310.0,1276.0,1586.0
665,RF-0506-001-PPP,Biphenyl,Biphenyl,357.0,1229.0,1586.0
313,RF-0162-001-PPP,Ethirimol,Ethirimol,401.0,1183.0,1584.0
1090,RF-1003-001-PPP,"3,5-dichloroaniline (sum)","Vinclozolin, iprodione, procymidone, sum of compounds and all metabolites containing the 3,5-dichloroaniline moiety expressed as 3,5 dichloroaniline",428.0,1149.0,1577.0
468,RF-0318-001-PPP,Oxadiazon,Oxadiazon,290.0,1284.0,1574.0
345,RF-0198-001-PPP,Fluazinam,Fluazinam,328.0,1232.0,1560.0
216,RF-0069-001-PPP,Carboxin,Carboxin,318.0,1236.0,1554.0
525,RF-0366-001-PPP,Prosulfocarb,Prosulfocarb,338.0,1214.0,1552.0
475,RF-0323-004-PPP,Oxydemeton-methyl (sum),Oxydemeton-methyl,396.0,1156.0,1552.0
842,RF-0693-001-PPP,Fipronil-Sulfide,Fipronil-Sulfide,188.0,1363.0,1551.0
379,RF-0228-001-PPP,Furathiocarb,Furathiocarb,352.0,1199.0,1551.0
234,RF-0093-001-PPP,Chlozolinate,Chlozolinate,336.0,1214.0,1550.0
244,RF-0099-001-PPP,Clomazone (sum),Clomazone,314.0,1234.0,1548.0
231,RF-0090-001-PPP,Chlorthal-dimethyl,Chlorthal-dimethyl,312.0,1235.0,1547.0
602,RF-0436-001-PPP,Triclopyr (sum),Triclopyr,285.0,1256.0,1541.0
952,RF-0819-001-PPP,Nuarimol,Nuarimol,333.0,1197.0,1530.0
390,RF-0242-001-PPP,Hexythiazox (sum),Hexythiazox,403.0,1125.0,1528.0
426,RF-0281-001-PPP,Metalaxyl and metalaxyl-M (sum),Metalaxyl and metalaxyl-M (metalaxyl including other mixtures of constituent isomers including metalaxyl-M (sum of isomers),408.0,1120.0,1528.0
346,RF-0199-001-PPP,Flubendiamide (sum),Flubendiamide,330.0,1197.0,1527.0
455,RF-0304-001-PPP,Molinate,Molinate,272.0,1249.0,1521.0
378,RF-0227-001-PPP,Fuberidazole,Fuberidazole,267.0,1246.0,1513.0
476,RF-0324-001-PPP,Oxyfluorfen,Oxyfluorfen,301.0,1210.0,1511.0
1028,RF-0919-001-PPP,Terbutryn,Terbutryn,361.0,1138.0,1499.0
7,RF-00000024-PAR,Fluxapyroxad,Fluxapyroxad,280.0,1218.0,1498.0
854,RF-0705-001-PPP,Flumethrin,Flumethrin,335.0,1157.0,1492.0
808,RF-0660-001-PPP,Ethiofencarb,Ethiofencarb,293.0,1192.0,1485.0
629,RF-0467-001-PPP,Ametryn,Ametryn,240.0,1242.0,1482.0
430,RF-0284-001-PPP,Metamitron,Metamitron,307.0,1175.0,1482.0
305,RF-0152-002-PPP,Diuron,Diuron,316.0,1161.0,1477.0
1072,RF-0969-001-PPP,Vamidothion (sum),Vamidothion,291.0,1178.0,1469.0
793,RF-0644-001-PPP,Tolylfluanid (sum),Dimethylaminosulfotoluidide (DMST),335.0,1131.0,1466.0
323,RF-0173-002-PPP,Fenamiphos (sum),Fenamiphos-Sulfoxid,227.0,1235.0,1462.0
324,RF-0173-003-PPP,Fenamiphos (sum),Fenamiphos-Sulfon,228.0,1232.0,1460.0
704,RF-0549-001-PPP,Chlorfluazuron,Chlorfluazuron,269.0,1190.0,1459.0
561,RF-0395-001-PPP,Spiromesifen,Spiromesifen,315.0,1143.0,1458.0
761,RF-0610-001-PPP,Diclobutrazol,Diclobutrazol,247.0,1209.0,1456.0
995,RF-0878-001-PPP,Pyrifenox,Pyrifenox,320.0,1134.0,1454.0
286,RF-0139-001-PPP,Dimethoate (sum),Dimethoate (sum of dimethoate and omethoate expressed as dimethoate),368.0,1086.0,1454.0
729,RF-0576-001-PPP,Cyanazine,Cyanazine,259.0,1190.0,1449.0
549,RF-0384-004-PPP,Quizalofop (sum),Quizalofop,235.0,1211.0,1446.0
483,RF-0334-001-PPP,Phenmedipham,Phenmedipham,303.0,1126.0,1429.0
330,RF-0178-001-PPP,Fenchlorphos (sum),Fenchlorphos (sum of fenchlorphos and fenchlorphos oxon expressed as fenchlorphos),380.0,1046.0,1426.0
921,RF-0780-001-PPP,Mepronil,Mepronil,301.0,1121.0,1422.0
1087,RF-0999-001-PPP,Nonachlor-Trans,Nonachlor-Trans,217.0,1198.0,1415.0
411,RF-0262-001-PPP,Lenacil,Lenacil,296.0,1118.0,1414.0
385,RF-0236-007-PPP,Heptachlor (sum),Heptachlor endo-epoxide,322.0,1088.0,1410.0
699,RF-0544-001-PPP,Chlorbromuron,Chlorbromuron,288.0,1118.0,1406.0
39,RF-00003322-PAR,Carbofuran (sum),3-OH-carbofuran (free and conjugated) expressed as carbofuran,139.0,1255.0,1394.0
342,RF-0194-002-PPP,Flonicamid (sum),Flonicamid,365.0,1023.0,1388.0
258,RF-0115-001-PPP,Cyromazine,Cyromazine,197.0,1191.0,1388.0
669,RF-0511-001-PPP,Bromacil,Bromacil,241.0,1145.0,1386.0
228,RF-0084-001-PPP,Chlorothalonil,Chlorothalonil,356.0,1024.0,1380.0
874,RF-0727-001-PPP,Furalaxyl,Furalaxyl,306.0,1060.0,1366.0
328,RF-0176-001-PPP,Fenbuconazole (sum),Fenbuconazole,421.0,939.0,1360.0
512,RF-0355-001-PPP,Propanil,Propanil,266.0,1094.0,1360.0
265,RF-0125-001-PPP,Dichlobenil,Dichlobenil,227.0,1130.0,1357.0
983,RF-0864-001-PPP,Propazine,Propazine,231.0,1118.0,1349.0
27,RF-00002610-PAR,Fenpyrazamine,Fenpyrazamine,250.0,1093.0,1343.0
979,RF-0860-001-PPP,Promecarb,Promecarb,312.0,1019.0,1331.0
597,RF-0430-001-PPP,Tri-allate,Tri-allate,260.0,1068.0,1328.0
203,RF-0055-001-PPP,Bupirimate,Bupirimate,381.0,933.0,1314.0
89,RF-00004679-PAR,Sulfoxaflor (sum),Sulfoxaflor (sum of isomers),224.0,1090.0,1314.0
553,RF-0389-001-PPP,Silthiofam,Silthiofam,260.0,1051.0,1311.0
489,RF-0336-004-PPP,Phorate (sum),Phorate-Sulfoxid,210.0,1099.0,1309.0
320,RF-0170-001-PPP,Etridiazole,Etridiazole,227.0,1081.0,1308.0
633,RF-0471-001-PPP,AMPA,AMPA,530.0,768.0,1298.0
637,RF-0475-001-PPP,Anthraquinone,Anthraquinone,258.0,1038.0,1296.0
155,RF-0015-001-PPP,Acetochlor,Acetochlor,296.0,998.0,1294.0
367,RF-0217-001-PPP,Flurtamone,Flurtamone,254.0,1039.0,1293.0
532,RF-0374-001-PPP,Pyrethrins,Pyrethrins,189.0,1100.0,1289.0
281,RF-0135-001-PPP,Diflufenican,Diflufenican,257.0,1029.0,1286.0
920,RF-0779-001-PPP,Mephosfolan,Mephosfolan,232.0,1039.0,1271.0
226,RF-0080-001-PPP,Chloridazon,Chloridazon,259.0,1005.0,1264.0
643,RF-0482-001-PPP,Azaconazole,Azaconazole,227.0,1034.0,1261.0
349,RF-0201-002-PPP,Flucythrinate (sum),Flucythrinate (flucythrinate including other mixtures of consitutent isomers (sum of isomers)),218.0,1042.0,1260.0
896,RF-0755-001-PPP,Isodrin,Isodrin,129.0,1124.0,1253.0
790,RF-0640-001-PPP,Ditalimfos,Ditalimfos,256.0,986.0,1242.0
900,RF-0759-001-PPP,Isofenphos-oxon,Isofenphos-oxon,194.0,1048.0,1242.0
457,RF-0306-001-PPP,Monolinuron,Monolinuron,272.0,969.0,1241.0
175,RF-0028-001-PPP,Asulam,Asulam,208.0,1032.0,1240.0
344,RF-0196-001-PPP,Forchlorfenuron,Forchlorfenuron,249.0,987.0,1236.0
608,RF-0440-002-PPP,Triflumizole (sum),Triflumizole,238.0,998.0,1236.0
830,RF-0682-001-PPP,Fenpiclonil,Fenpiclonil,204.0,1032.0,1236.0
592,RF-0425-002-PPP,Tolylfluanid (sum),Tolylfluanid,293.0,942.0,1235.0
168,RF-0024-001-PPP,Amitraz (sum),"Amitraz (amitraz including the metabolites containing the 2,4 -dimethylaniline moiety expressed as amitraz)",277.0,956.0,1233.0
