,sampleId,sampCountry,origCountry,productCode,efsaProductCode,productTreat,progType,pesticideCode,resVal,fatPerc,resType,year,tag,short_name,long_name,paramcode,limit,mandatory
120,DCC5A193E0243FC0FCF7D5AC453A56B1,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0328-003-PPP,0.02,-1.0,LOQ,2011,Parathion-methyl (sum),Parathion-methyl (sum),Parathion-methyl,RF-0328-003-PPP,0.01,True
125,66B8D2FAAFE5920952CB40EED71652F9,CZ,CZ,P1020010A,A.01.001040,T134A,K018A,RF-0328-003-PPP,0.02,1.51,LOQ,2011,Parathion-methyl (sum),Parathion-methyl (sum),Parathion-methyl,RF-0328-003-PPP,0.01,True
128,E7DA8F12518246A7D5E11AADCD7EFA3A,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0373-001-PPP,0.02,-1.0,LOQ,2011,Pyrazophos,Pyrazophos,Pyrazophos,RF-0373-001-PPP,0.01,True
135,7251367C0D3A0FFF7CE9A1E3FE9C56E3,CZ,CZ,P1020010A,A.01.001053,T134A,K018A,RF-0406-001-PPP,0.03,27.81,LOQ,2011,Tecnazene,Tecnazene,Tecnazene,RF-0406-001-PPP,0.01,True
143,D08E911491CC32D0C46A8DEF280D1E41,CZ,CZ,P1020010A,A.01.001030,T134A,K018A,RF-0237-001-PPP,0.015,2.7,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
145,D08E911491CC32D0C46A8DEF280D1E41,CZ,CZ,P1020010A,A.01.001030,T134A,K018A,RF-0842-001-PPP,0.01,2.7,LOQ,2011,Permethrin (sum),Permethrin (sum),Permethrin (sum of isomers),RF-0842-001-PPP,0.0,True
151,D08E911491CC32D0C46A8DEF280D1E41,CZ,CZ,P1020010A,A.01.001030,T134A,K018A,RF-0351-001-PPP,0.02,2.7,LOQ,2011,Profenofos,Profenofos,Profenofos,RF-0351-001-PPP,0.01,True
152,D08E911491CC32D0C46A8DEF280D1E41,CZ,CZ,P1020010A,A.01.001030,T134A,K018A,RF-0156-001-PPP,0.001,2.7,LOQ,2011,Endrin (sum),Endrin,Endrin,RF-0156-001-PPP,0.0008,True
154,C260107091A7F225E48DBAA2747F0120,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0237-001-PPP,0.01,82.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
156,C260107091A7F225E48DBAA2747F0120,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0842-001-PPP,0.01,82.0,LOQ,2011,Permethrin (sum),Permethrin (sum),Permethrin (sum of isomers),RF-0842-001-PPP,0.0,True
166,E9EDB81EBB05E5E9A05B9124EDD3A3DB,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0842-001-PPP,0.01,-1.0,LOQ,2011,Permethrin (sum),Permethrin (sum),Permethrin (sum of isomers),RF-0842-001-PPP,0.0,True
172,E9EDB81EBB05E5E9A05B9124EDD3A3DB,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0351-001-PPP,0.02,-1.0,LOQ,2011,Profenofos,Profenofos,Profenofos,RF-0351-001-PPP,0.01,True
176,E7DA8F12518246A7D5E11AADCD7EFA3A,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0328-003-PPP,0.02,-1.0,LOQ,2011,Parathion-methyl (sum),Parathion-methyl (sum),Parathion-methyl,RF-0328-003-PPP,0.01,True
179,391042BF4AEFC3BB133E1B30F22A12E1,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0842-001-PPP,0.01,82.0,LOQ,2011,Permethrin (sum),Permethrin (sum),Permethrin (sum of isomers),RF-0842-001-PPP,0.0,True
182,391042BF4AEFC3BB133E1B30F22A12E1,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0156-001-PPP,0.001,82.0,LOQ,2011,Endrin (sum),Endrin,Endrin,RF-0156-001-PPP,0.0008,True
185,391042BF4AEFC3BB133E1B30F22A12E1,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0351-001-PPP,0.02,82.0,LOQ,2011,Profenofos,Profenofos,Profenofos,RF-0351-001-PPP,0.01,True
192,7251367C0D3A0FFF7CE9A1E3FE9C56E3,CZ,CZ,P1020010A,A.01.001053,T134A,K018A,RF-0237-001-PPP,0.011,27.81,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
194,7251367C0D3A0FFF7CE9A1E3FE9C56E3,CZ,CZ,P1020010A,A.01.001053,T134A,K018A,RF-0842-001-PPP,0.01,27.81,LOQ,2011,Permethrin (sum),Permethrin (sum),Permethrin (sum of isomers),RF-0842-001-PPP,0.0,True
197,7251367C0D3A0FFF7CE9A1E3FE9C56E3,CZ,CZ,P1020010A,A.01.001053,T134A,K018A,RF-0156-001-PPP,0.001,27.81,LOQ,2011,Endrin (sum),Endrin,Endrin,RF-0156-001-PPP,0.0008,True
200,7251367C0D3A0FFF7CE9A1E3FE9C56E3,CZ,CZ,P1020010A,A.01.001053,T134A,K018A,RF-0351-001-PPP,0.02,27.81,LOQ,2011,Profenofos,Profenofos,Profenofos,RF-0351-001-PPP,0.01,True
203,C260107091A7F225E48DBAA2747F0120,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0351-001-PPP,0.02,82.0,LOQ,2011,Profenofos,Profenofos,Profenofos,RF-0351-001-PPP,0.01,True
204,C260107091A7F225E48DBAA2747F0120,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0156-001-PPP,0.001,82.0,LOQ,2011,Endrin (sum),Endrin,Endrin,RF-0156-001-PPP,0.0008,True
219,E9EDB81EBB05E5E9A05B9124EDD3A3DB,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0373-001-PPP,0.02,-1.0,LOQ,2011,Pyrazophos,Pyrazophos,Pyrazophos,RF-0373-001-PPP,0.01,True
228,7251367C0D3A0FFF7CE9A1E3FE9C56E3,CZ,CZ,P1020010A,A.01.001053,T134A,K018A,RF-0373-001-PPP,0.02,27.81,LOQ,2011,Pyrazophos,Pyrazophos,Pyrazophos,RF-0373-001-PPP,0.01,True
234,7251367C0D3A0FFF7CE9A1E3FE9C56E3,CZ,CZ,P1020010A,A.01.001053,T134A,K018A,RF-0328-003-PPP,0.02,27.81,LOQ,2011,Parathion-methyl (sum),Parathion-methyl (sum),Parathion-methyl,RF-0328-003-PPP,0.01,True
239,7D4EA8B5FE17551064D6039EF0151826,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0351-001-PPP,0.02,-1.0,LOQ,2011,Profenofos,Profenofos,Profenofos,RF-0351-001-PPP,0.01,True
244,7D4EA8B5FE17551064D6039EF0151826,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0373-001-PPP,0.02,-1.0,LOQ,2011,Pyrazophos,Pyrazophos,Pyrazophos,RF-0373-001-PPP,0.01,True
250,7D4EA8B5FE17551064D6039EF0151826,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0328-003-PPP,0.02,-1.0,LOQ,2011,Parathion-methyl (sum),Parathion-methyl (sum),Parathion-methyl,RF-0328-003-PPP,0.01,True
255,391042BF4AEFC3BB133E1B30F22A12E1,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0373-001-PPP,0.02,82.0,LOQ,2011,Pyrazophos,Pyrazophos,Pyrazophos,RF-0373-001-PPP,0.01,True
261,64A9488887F4AA66F8362E4EF1A4CF7A,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0406-001-PPP,0.03,82.0,LOQ,2011,Tecnazene,Tecnazene,Tecnazene,RF-0406-001-PPP,0.01,True
270,64A9488887F4AA66F8362E4EF1A4CF7A,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0237-001-PPP,0.009,82.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
272,64A9488887F4AA66F8362E4EF1A4CF7A,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0842-001-PPP,0.01,82.0,LOQ,2011,Permethrin (sum),Permethrin (sum),Permethrin (sum of isomers),RF-0842-001-PPP,0.0,True
279,C260107091A7F225E48DBAA2747F0120,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0373-001-PPP,0.02,82.0,LOQ,2011,Pyrazophos,Pyrazophos,Pyrazophos,RF-0373-001-PPP,0.01,True
284,C260107091A7F225E48DBAA2747F0120,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0328-003-PPP,0.02,82.0,LOQ,2011,Parathion-methyl (sum),Parathion-methyl (sum),Parathion-methyl,RF-0328-003-PPP,0.01,True
288,391042BF4AEFC3BB133E1B30F22A12E1,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0328-003-PPP,0.02,82.0,LOQ,2011,Parathion-methyl (sum),Parathion-methyl (sum),Parathion-methyl,RF-0328-003-PPP,0.01,True
292,64A9488887F4AA66F8362E4EF1A4CF7A,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0351-001-PPP,0.02,82.0,LOQ,2011,Profenofos,Profenofos,Profenofos,RF-0351-001-PPP,0.01,True
293,64A9488887F4AA66F8362E4EF1A4CF7A,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0156-001-PPP,0.001,82.0,LOQ,2011,Endrin (sum),Endrin,Endrin,RF-0156-001-PPP,0.0008,True
299,64A9488887F4AA66F8362E4EF1A4CF7A,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0373-001-PPP,0.02,82.0,LOQ,2011,Pyrazophos,Pyrazophos,Pyrazophos,RF-0373-001-PPP,0.01,True
308,D08E911491CC32D0C46A8DEF280D1E41,CZ,CZ,P1020010A,A.01.001030,T134A,K018A,RF-0373-001-PPP,0.02,2.7,LOQ,2011,Pyrazophos,Pyrazophos,Pyrazophos,RF-0373-001-PPP,0.01,True
314,D08E911491CC32D0C46A8DEF280D1E41,CZ,CZ,P1020010A,A.01.001030,T134A,K018A,RF-0328-003-PPP,0.02,2.7,LOQ,2011,Parathion-methyl (sum),Parathion-methyl (sum),Parathion-methyl,RF-0328-003-PPP,0.01,True
319,64A9488887F4AA66F8362E4EF1A4CF7A,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0328-003-PPP,0.02,82.0,LOQ,2011,Parathion-methyl (sum),Parathion-methyl (sum),Parathion-methyl,RF-0328-003-PPP,0.01,True
325,6353212A78964A370C828385D0E6AE29,CZ,CZ,P1020010A,A.01.001054,T134A,K018A,RF-0406-001-PPP,0.03,13.53,LOQ,2011,Tecnazene,Tecnazene,Tecnazene,RF-0406-001-PPP,0.01,True
333,6353212A78964A370C828385D0E6AE29,CZ,CZ,P1020010A,A.01.001054,T134A,K018A,RF-0237-001-PPP,0.01,13.53,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
337,E9EDB81EBB05E5E9A05B9124EDD3A3DB,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0328-003-PPP,0.02,-1.0,LOQ,2011,Parathion-methyl (sum),Parathion-methyl (sum),Parathion-methyl,RF-0328-003-PPP,0.01,True
340,6353212A78964A370C828385D0E6AE29,CZ,CZ,P1020010A,A.01.001054,T134A,K018A,RF-0842-001-PPP,0.01,13.53,LOQ,2011,Permethrin (sum),Permethrin (sum),Permethrin (sum of isomers),RF-0842-001-PPP,0.0,True
346,6353212A78964A370C828385D0E6AE29,CZ,CZ,P1020010A,A.01.001054,T134A,K018A,RF-0351-001-PPP,0.02,13.53,LOQ,2011,Profenofos,Profenofos,Profenofos,RF-0351-001-PPP,0.01,True
347,6353212A78964A370C828385D0E6AE29,CZ,CZ,P1020010A,A.01.001054,T134A,K018A,RF-0156-001-PPP,0.001,13.53,LOQ,2011,Endrin (sum),Endrin,Endrin,RF-0156-001-PPP,0.0008,True
352,D2E780B198C7D6A84A10780D1E28E822,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0406-001-PPP,0.03,-1.0,LOQ,2011,Tecnazene,Tecnazene,Tecnazene,RF-0406-001-PPP,0.01,True
362,6353212A78964A370C828385D0E6AE29,CZ,CZ,P1020010A,A.01.001054,T134A,K018A,RF-0373-001-PPP,0.02,13.53,LOQ,2011,Pyrazophos,Pyrazophos,Pyrazophos,RF-0373-001-PPP,0.01,True
371,DCC5A193E0243FC0FCF7D5AC453A56B1,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0406-001-PPP,0.03,-1.0,LOQ,2011,Tecnazene,Tecnazene,Tecnazene,RF-0406-001-PPP,0.01,True
376,D2E780B198C7D6A84A10780D1E28E822,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0842-001-PPP,0.01,-1.0,LOQ,2011,Permethrin (sum),Permethrin (sum),Permethrin (sum of isomers),RF-0842-001-PPP,0.0,True
384,6353212A78964A370C828385D0E6AE29,CZ,CZ,P1020010A,A.01.001054,T134A,K018A,RF-0328-003-PPP,0.02,13.53,LOQ,2011,Parathion-methyl (sum),Parathion-methyl (sum),Parathion-methyl,RF-0328-003-PPP,0.01,True
396,3EB99079B6725C1000987DF2738E6309,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0406-001-PPP,0.03,82.0,LOQ,2011,Tecnazene,Tecnazene,Tecnazene,RF-0406-001-PPP,0.01,True
397,9C546FD6EEF9033680D7D88C330AF075,CZ,CZ,P1020010A,A.01.001029,T134A,K018A,RF-0406-001-PPP,0.03,3.8,LOQ,2011,Tecnazene,Tecnazene,Tecnazene,RF-0406-001-PPP,0.01,True
406,9C546FD6EEF9033680D7D88C330AF075,CZ,CZ,P1020010A,A.01.001029,T134A,K018A,RF-0237-001-PPP,0.012,3.8,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
407,9C546FD6EEF9033680D7D88C330AF075,CZ,CZ,P1020010A,A.01.001029,T134A,K018A,RF-0842-001-PPP,0.01,3.8,LOQ,2011,Permethrin (sum),Permethrin (sum),Permethrin (sum of isomers),RF-0842-001-PPP,0.0,True
411,D2E780B198C7D6A84A10780D1E28E822,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0351-001-PPP,0.02,-1.0,LOQ,2011,Profenofos,Profenofos,Profenofos,RF-0351-001-PPP,0.01,True
419,D2E780B198C7D6A84A10780D1E28E822,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0373-001-PPP,0.02,-1.0,LOQ,2011,Pyrazophos,Pyrazophos,Pyrazophos,RF-0373-001-PPP,0.01,True
431,66B8D2FAAFE5920952CB40EED71652F9,CZ,CZ,P1020010A,A.01.001040,T134A,K018A,RF-0406-001-PPP,0.03,1.51,LOQ,2011,Tecnazene,Tecnazene,Tecnazene,RF-0406-001-PPP,0.01,True
449,3EB99079B6725C1000987DF2738E6309,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0237-001-PPP,0.011,82.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
451,3EB99079B6725C1000987DF2738E6309,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0842-001-PPP,0.01,82.0,LOQ,2011,Permethrin (sum),Permethrin (sum),Permethrin (sum of isomers),RF-0842-001-PPP,0.0,True
455,9C546FD6EEF9033680D7D88C330AF075,CZ,CZ,P1020010A,A.01.001029,T134A,K018A,RF-0156-001-PPP,0.001,3.8,LOQ,2011,Endrin (sum),Endrin,Endrin,RF-0156-001-PPP,0.0008,True
458,9C546FD6EEF9033680D7D88C330AF075,CZ,CZ,P1020010A,A.01.001029,T134A,K018A,RF-0351-001-PPP,0.02,3.8,LOQ,2011,Profenofos,Profenofos,Profenofos,RF-0351-001-PPP,0.01,True
463,DCC5A193E0243FC0FCF7D5AC453A56B1,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0842-001-PPP,0.01,-1.0,LOQ,2011,Permethrin (sum),Permethrin (sum),Permethrin (sum of isomers),RF-0842-001-PPP,0.0,True
468,D2E780B198C7D6A84A10780D1E28E822,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0328-003-PPP,0.02,-1.0,LOQ,2011,Parathion-methyl (sum),Parathion-methyl (sum),Parathion-methyl,RF-0328-003-PPP,0.01,True
471,E7DA8F12518246A7D5E11AADCD7EFA3A,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0406-001-PPP,0.03,-1.0,LOQ,2011,Tecnazene,Tecnazene,Tecnazene,RF-0406-001-PPP,0.01,True
478,3EB99079B6725C1000987DF2738E6309,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0156-001-PPP,0.001,82.0,LOQ,2011,Endrin (sum),Endrin,Endrin,RF-0156-001-PPP,0.0008,True
481,3EB99079B6725C1000987DF2738E6309,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0351-001-PPP,0.02,82.0,LOQ,2011,Profenofos,Profenofos,Profenofos,RF-0351-001-PPP,0.01,True
489,C260107091A7F225E48DBAA2747F0120,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0406-001-PPP,0.03,82.0,LOQ,2011,Tecnazene,Tecnazene,Tecnazene,RF-0406-001-PPP,0.01,True
492,DCC5A193E0243FC0FCF7D5AC453A56B1,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0351-001-PPP,0.02,-1.0,LOQ,2011,Profenofos,Profenofos,Profenofos,RF-0351-001-PPP,0.01,True
503,66B8D2FAAFE5920952CB40EED71652F9,CZ,CZ,P1020010A,A.01.001040,T134A,K018A,RF-0237-001-PPP,0.018,1.51,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
505,66B8D2FAAFE5920952CB40EED71652F9,CZ,CZ,P1020010A,A.01.001040,T134A,K018A,RF-0842-001-PPP,0.01,1.51,LOQ,2011,Permethrin (sum),Permethrin (sum),Permethrin (sum of isomers),RF-0842-001-PPP,0.0,True
517,3EB99079B6725C1000987DF2738E6309,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0373-001-PPP,0.02,82.0,LOQ,2011,Pyrazophos,Pyrazophos,Pyrazophos,RF-0373-001-PPP,0.01,True
523,3EB99079B6725C1000987DF2738E6309,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0328-003-PPP,0.02,82.0,LOQ,2011,Parathion-methyl (sum),Parathion-methyl (sum),Parathion-methyl,RF-0328-003-PPP,0.01,True
6705,2F849DAB3A8A0182969F205358024590,BE,BE,P1020010A,-1,T134A,K005A,RF-0239-002-PPP,0.01456,4.0,VAL,2011,HCH-beta,HCH-beta,"Hexachlorocyclohexane (HCH), beta-isomer",RF-0239-002-PPP,0.01,True
6751,C3C3FDD411E269D04D12449C61A52E2B,BE,BE,P1020010A,-1,T134A,K005A,RF-0239-002-PPP,0.01175,4.0,VAL,2011,HCH-beta,HCH-beta,"Hexachlorocyclohexane (HCH), beta-isomer",RF-0239-002-PPP,0.01,True
6769,FC91D51109DDCD3960D4A9C656FD2A1D,BE,BE,P1020010A,-1,T134A,K005A,RF-0239-002-PPP,0.01653,4.0,VAL,2011,HCH-beta,HCH-beta,"Hexachlorocyclohexane (HCH), beta-isomer",RF-0239-002-PPP,0.01,True
6786,30FA90D51F2756B47DEE63EE73CE6AF2,BE,BE,P1020010A,-1,T134A,K005A,RF-0239-002-PPP,0.0129,4.0,VAL,2011,HCH-beta,HCH-beta,"Hexachlorocyclohexane (HCH), beta-isomer",RF-0239-002-PPP,0.01,True
6810,D3A57012EDAE47C01931125CA2E4E1D1,BE,BE,P1020010A,-1,T134A,K005A,RF-0239-002-PPP,0.02877,4.0,VAL,2011,HCH-beta,HCH-beta,"Hexachlorocyclohexane (HCH), beta-isomer",RF-0239-002-PPP,0.01,True
6853,96AC9D6D2BD57F8A67BA550997F3A920,BE,BE,P1020010A,-1,T134A,K005A,RF-0236-001-PPP,0.01807,4.0,VAL,2011,Heptachlor (sum),Heptachlor (sum),Heptachlor (sum of heptachlor and heptachlor epoxide expressed as heptachlor),RF-0236-001-PPP,0.004,True
6908,96AC9D6D2BD57F8A67BA550997F3A920,BE,BE,P1020010A,-1,T134A,K005A,RF-0239-002-PPP,0.02057,4.0,VAL,2011,HCH-beta,HCH-beta,"Hexachlorocyclohexane (HCH), beta-isomer",RF-0239-002-PPP,0.01,True
6909,96AC9D6D2BD57F8A67BA550997F3A920,BE,BE,P1020010A,-1,T134A,K005A,RF-0236-005-PPP,0.01807,4.0,VAL,2011,Heptachlor (sum),Heptachlor epoxide,Heptachlor epoxide,RF-0236-005-PPP,0.004,True
6951,3E63DCC9D625C99B26690084184DA140,BE,BE,P1020010A,-1,T134A,K005A,RF-0239-002-PPP,0.01265,4.0,VAL,2011,HCH-beta,HCH-beta,"Hexachlorocyclohexane (HCH), beta-isomer",RF-0239-002-PPP,0.01,True
7093,D744EE2CE3010DE7452386C940A51DDC,BE,BE,P1020010A,-1,T134A,K005A,RF-0239-002-PPP,0.02882,4.0,VAL,2011,HCH-beta,HCH-beta,"Hexachlorocyclohexane (HCH), beta-isomer",RF-0239-002-PPP,0.01,True
7146,ABD23EF2F59559F62CE48A9C45706F6F,BE,BE,P1020010A,-1,T134A,K005A,RF-0239-002-PPP,0.02,4.0,VAL,2011,HCH-beta,HCH-beta,"Hexachlorocyclohexane (HCH), beta-isomer",RF-0239-002-PPP,0.01,True
7317,48498C039D6CEDDDF9DF0FA0DBEBE95F,BE,BE,P1020010A,-1,T134A,K005A,RF-0239-002-PPP,0.02741,4.0,VAL,2011,HCH-beta,HCH-beta,"Hexachlorocyclohexane (HCH), beta-isomer",RF-0239-002-PPP,0.01,True
7367,06C2C7D3C85305C37B883C9611FE1F76,BE,BE,P1020010A,-1,T134A,K005A,RF-0239-002-PPP,0.016,4.0,VAL,2011,HCH-beta,HCH-beta,"Hexachlorocyclohexane (HCH), beta-isomer",RF-0239-002-PPP,0.01,True
